analysis	midpoint	window	estimate	lower_confidence_limit	upper_confidence_limit
106c5f05239fe003eb709cc174f2f390906703a4	2007.5	2	0.0116	-0.0096	0.0328
106c5f05239fe003eb709cc174f2f390906703a4	2008.5	2	-0.0261	-0.0475	-0.0046
106c5f05239fe003eb709cc174f2f390906703a4	2009.5	2	-0.0064	-0.0281	0.0152
106c5f05239fe003eb709cc174f2f390906703a4	2010.5	2	-0.0411	-0.0649	-0.0172
106c5f05239fe003eb709cc174f2f390906703a4	2011.5	2	-0.0231	-0.0489	0.0027
106c5f05239fe003eb709cc174f2f390906703a4	2008.5	4	-0.0089	-0.0174	-3e-04
106c5f05239fe003eb709cc174f2f390906703a4	2009.5	4	-0.0227	-0.0319	-0.0135
106c5f05239fe003eb709cc174f2f390906703a4	2010.5	4	-0.0253	-0.0365	-0.0141
106c5f05239fe003eb709cc174f2f390906703a4	2009.5	6	-0.0186	-0.0253	-0.012
1080515a46eba7a990f4283dd0732b8de57d3fb9	2009.5	6	0.0081	0.0029	0.0133
1080515a46eba7a990f4283dd0732b8de57d3fb9	2010.5	6	0.0013	-0.0038	0.0063
1080515a46eba7a990f4283dd0732b8de57d3fb9	2011.5	6	-0.0077	-0.0129	-0.0026
1080515a46eba7a990f4283dd0732b8de57d3fb9	2012.5	6	-0.0115	-0.0165	-0.0064
1080515a46eba7a990f4283dd0732b8de57d3fb9	2013.5	6	-0.016	-0.021	-0.011
1080515a46eba7a990f4283dd0732b8de57d3fb9	2014.5	6	-0.0185	-0.0236	-0.0134
1080515a46eba7a990f4283dd0732b8de57d3fb9	2015.5	6	-0.012	-0.0172	-0.0067
1080515a46eba7a990f4283dd0732b8de57d3fb9	2016.5	6	-0.0111	-0.0164	-0.0058
1080515a46eba7a990f4283dd0732b8de57d3fb9	2017.5	6	-0.0143	-0.0197	-0.0089
1080515a46eba7a990f4283dd0732b8de57d3fb9	2018.5	6	-0.0105	-0.016	-0.005
1080515a46eba7a990f4283dd0732b8de57d3fb9	2019.5	6	-0.0102	-0.0159	-0.0045
1080515a46eba7a990f4283dd0732b8de57d3fb9	2020.5	6	-0.0119	-0.018	-0.0057
1080515a46eba7a990f4283dd0732b8de57d3fb9	2012.5	12	-0.0075	-0.0098	-0.0051
1080515a46eba7a990f4283dd0732b8de57d3fb9	2013.5	12	-0.01	-0.0123	-0.0077
1080515a46eba7a990f4283dd0732b8de57d3fb9	2014.5	12	-0.0115	-0.0138	-0.0091
1080515a46eba7a990f4283dd0732b8de57d3fb9	2015.5	12	-0.0125	-0.015	-0.0101
1080515a46eba7a990f4283dd0732b8de57d3fb9	2016.5	12	-0.0135	-0.0161	-0.011
1080515a46eba7a990f4283dd0732b8de57d3fb9	2017.5	12	-0.0133	-0.016	-0.0106
1080515a46eba7a990f4283dd0732b8de57d3fb9	2015	17	-0.0097	-0.0114	-0.0079
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2009.5	6	-0.0113	-0.0223	-3e-04
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2010.5	6	-0.0168	-0.028	-0.0055
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2011.5	6	-0.0322	-0.0436	-0.0207
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2012.5	6	-0.0374	-0.0484	-0.0263
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2013.5	6	-0.0354	-0.0465	-0.0242
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2014.5	6	-0.0322	-0.0434	-0.0209
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2015.5	6	-0.0158	-0.027	-0.0045
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2016.5	6	-0.0062	-0.0176	0.0052
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2017.5	6	-0.0085	-0.02	0.0031
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2018.5	6	-0.0045	-0.0158	0.0069
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	2019.5	6	-0.0142	-0.0261	-0.0023
