analysis	year	estimate	lower_confidence_limit	upper_confidence_limit
193	2007	-1.2265	-1.5077	-0.9453
193	2010	-1.1536	-1.4032	-0.904
193	2013	-1.1391	-1.3866	-0.8917
193	2016	-1.0766	-1.3262	-0.8271
193	2019	-1.0645	-1.3313	-0.7978
194	2007	-1.8041	-2.8437	-0.7645
194	2008	-1.0971	-1.7371	-0.4571
194	2009	-0.3957	-0.9706	0.1791
194	2010	-0.7418	-1.452	-0.0317
194	2011	-0.1083	-0.7874	0.5707
194	2012	0.3058	-0.243	0.8546
194	2013	0.1742	-0.4174	0.7658
194	2014	-0.5594	-1.1855	0.0667
194	2015	-0.0989	-0.7245	0.5267
194	2016	0.2569	-0.3059	0.8198
194	2017	-0.6326	-1.1943	-0.0708
194	2018	-0.242	-0.8243	0.3403
194	2019	-1.1301	-1.8272	-0.4331
194	2020	-0.9647	-1.6141	-0.3154
194	2021	-0.7994	-1.4133	-0.1854
195	2007	0.2247	0.1042	0.3451
195	2008	0.1732	0.0473	0.2991
195	2009	0.0698	-0.0639	0.2034
195	2010	-0.0241	-0.1486	0.1004
195	2011	-0.039	-0.173	0.095
195	2012	-0.081	-0.2231	0.0612
195	2013	-0.0555	-0.1853	0.0743
195	2014	-0.5001	-0.6429	-0.3572
195	2015	-0.3609	-0.4986	-0.2232
195	2016	-0.4868	-0.6206	-0.3529
195	2017	-0.655	-0.7923	-0.5176
195	2018	-0.5576	-0.6986	-0.4166
195	2019	-0.8316	-0.9734	-0.6898
195	2020	-0.7971	-0.9418	-0.6523
195	2021	-0.8861	-1.0316	-0.7405
196	2007	-0.4646	-0.527	-0.4022
196	2010	-0.3883	-0.4511	-0.3255
196	2013	-0.3972	-0.4601	-0.3344
196	2016	-0.4803	-0.5428	-0.4178
196	2019	-0.4448	-0.5085	-0.3812
197	2007	-0.2442	-0.3666	-0.1219
197	2010	-0.164	-0.2849	-0.043
197	2013	-0.2231	-0.3399	-0.1062
197	2016	-0.2613	-0.3815	-0.1411
197	2019	-0.3127	-0.4452	-0.1803
198	2007	-0.5874	-0.7354	-0.4394
198	2010	-0.7591	-0.9107	-0.6076
198	2013	-0.7489	-0.8942	-0.6037
198	2016	-0.6796	-0.8217	-0.5375
198	2019	-0.832	-0.9992	-0.6648
199	2007	-0.7535	-1.0598	-0.4472
199	2008	-0.7487	-1.0425	-0.4549
199	2009	-0.7561	-1.0445	-0.4677
199	2010	-0.7537	-1.0355	-0.4718
199	2011	-0.7461	-1.0241	-0.4681
199	2012	-0.74	-1.0167	-0.4632
199	2013	-0.7607	-1.0363	-0.485
199	2014	-0.7681	-1.044	-0.4923
199	2015	-0.7693	-1.0453	-0.4933
199	2016	-0.775	-1.0499	-0.5002
199	2017	-0.7733	-1.0498	-0.4968
199	2018	-0.7682	-1.0492	-0.4873
199	2019	-0.7652	-1.05	-0.4805
199	2020	-0.7606	-1.0595	-0.4617
199	2021	-0.7573	-1.0746	-0.4399
200	2007	-0.2422	-0.329	-0.1554
200	2010	-0.1285	-0.2116	-0.0454
200	2013	-0.2444	-0.3324	-0.1565
200	2016	-0.2905	-0.3772	-0.2038
200	2019	-0.2397	-0.3301	-0.1493
201	2007	0.1882	0.0082	0.3682
201	2010	0.0687	-0.1039	0.2412
201	2013	0.0951	-0.0636	0.2539
201	2016	0.1095	-0.0498	0.2687
201	2019	0.0705	-0.1228	0.2637
202	2007	-0.7049	-0.8853	-0.5245
202	2010	-0.8294	-1.013	-0.6458
202	2013	-1.0055	-1.1993	-0.8116
202	2016	-1.2279	-1.4263	-1.0295
202	2019	-1.5825	-1.8428	-1.3221
203	2007	-1.5857	-1.8615	-1.31
203	2008	-1.5136	-1.7834	-1.2437
203	2009	-1.4378	-1.7208	-1.1548
203	2010	-1.346	-1.5822	-1.1099
203	2011	-1.3154	-1.5937	-1.0371
203	2012	-1.1272	-1.3946	-0.8598
203	2013	-1.2671	-1.5176	-1.0166
203	2014	-0.9024	-1.1544	-0.6503
203	2015	-1.0844	-1.3222	-0.8466
203	2016	-1.3	-1.5435	-1.0566
