analysis	reference	alternative	estimate	lower_confidence_limit	upper_confidence_limit
1	2007	2008	-0.0191	-0.1338	0.0955
1	2007	2009	-0.034	-0.1728	0.1049
1	2007	2010	0.0165	-0.1079	0.141
1	2007	2011	0.0228	-0.1121	0.1577
1	2007	2012	-0.0342	-0.1798	0.1114
1	2007	2013	-0.1435	-0.2731	-0.0139
1	2007	2014	-0.2505	-0.3952	-0.1058
1	2007	2015	-0.2835	-0.4306	-0.1364
1	2007	2016	-0.2917	-0.4227	-0.1606
1	2007	2017	-0.3101	-0.4448	-0.1755
1	2007	2018	-0.3338	-0.485	-0.1826
1	2007	2019	-0.2336	-0.3664	-0.1008
1	2007	2020	-0.1387	-0.2727	-0.0046
1	2007	2021	-0.0623	-0.2028	0.0782
1	2007	2022	-0.1525	-0.2982	-0.0068
1	2008	2009	-0.0148	-0.1341	0.1045
1	2008	2010	0.0357	-0.0872	0.1586
1	2008	2011	0.0419	-0.0852	0.169
1	2008	2012	-0.0151	-0.1569	0.1268
1	2008	2013	-0.1244	-0.2532	0.0045
1	2008	2014	-0.2313	-0.3681	-0.0946
1	2008	2015	-0.2643	-0.4068	-0.1219
1	2008	2016	-0.2725	-0.4035	-0.1416
1	2008	2017	-0.291	-0.4176	-0.1643
1	2008	2018	-0.3146	-0.4595	-0.1698
1	2008	2019	-0.2145	-0.3463	-0.0827
1	2008	2020	-0.1195	-0.2468	0.0077
1	2008	2021	-0.0431	-0.1806	0.0944
1	2008	2022	-0.1334	-0.2787	0.012
1	2009	2010	0.0505	-0.071	0.1719
1	2009	2011	0.0567	-0.0843	0.1978
1	2009	2012	-2e-04	-0.1508	0.1503
1	2009	2013	-0.1096	-0.2493	0.0302
1	2009	2014	-0.2165	-0.3638	-0.0693
1	2009	2015	-0.2495	-0.3984	-0.1007
1	2009	2016	-0.2577	-0.3993	-0.1161
1	2009	2017	-0.2762	-0.4165	-0.1359
1	2009	2018	-0.2998	-0.4479	-0.1518
1	2009	2019	-0.1997	-0.3417	-0.0577
1	2009	2020	-0.1047	-0.2477	0.0383
1	2009	2021	-0.0283	-0.1778	0.1211
1	2009	2022	-0.1186	-0.2716	0.0345
1	2010	2011	0.0063	-0.1065	0.119
1	2010	2012	-0.0507	-0.1845	0.0831
1	2010	2013	-0.16	-0.2842	-0.0359
1	2010	2014	-0.267	-0.4094	-0.1246
1	2010	2015	-0.3	-0.4454	-0.1546
1	2010	2016	-0.3082	-0.4374	-0.179
1	2010	2017	-0.3267	-0.4589	-0.1944
1	2010	2018	-0.3503	-0.5005	-0.2002
1	2010	2019	-0.2501	-0.3804	-0.1199
1	2010	2020	-0.1552	-0.2837	-0.0267
1	2010	2021	-0.0788	-0.2116	0.054
1	2010	2022	-0.169	-0.3129	-0.0252
1	2011	2012	-0.057	-0.1756	0.0616
1	2011	2013	-0.1663	-0.2931	-0.0395
1	2011	2014	-0.2733	-0.416	-0.1305
1	2011	2015	-0.3063	-0.4559	-0.1566
1	2011	2016	-0.3145	-0.4509	-0.178
1	2011	2017	-0.3329	-0.4657	-0.2001
1	2011	2018	-0.3566	-0.5137	-0.1995
1	2011	2019	-0.2564	-0.3936	-0.1192
1	2011	2020	-0.1614	-0.2873	-0.0355
1	2011	2021	-0.0851	-0.2174	0.0473
1	2011	2022	-0.1753	-0.328	-0.0226
1	2012	2013	-0.1093	-0.2299	0.0113
1	2012	2014	-0.2163	-0.3657	-0.0669
1	2012	2015	-0.2493	-0.404	-0.0945
1	2012	2016	-0.2575	-0.4017	-0.1132
