analysis	speciesgroup	composite	cycle	linear	family	status_fingerprint	status	waic
01244fd1b972d17a0f53e99ee67930199a2729f1	115	0	0	1	2	116c53078921fd567ae985d4688caed23d0c56ba	2	NA
016c588395889c0c19be280852aaba0f7c8bf637	28	0	1	0	5	5f31fae2a57077027837084c5bb8b06a1557b664	1	1356.28875806976
02650104e02b12a9a70a250a6b9d125f09fb1e16	121	0	0	1	4	0d0069de7424d621834a03c91c5d1078997cdc7a	1	6991.28372896303
042bbc7494ef5cb0ca7e6465e9f6d6c0141647a7	16	0	0	1	5	5d2f6033c62fdc7bfee627a3bad9e496c737791d	1	12551.5757706643
043a0a066959ae3511b4bbc3486da55865ad7886	88	0	1	0	4	956afb81de1ff61a1f311f9defe72c86762639a0	1	1873.54890982253
0531c19f799288421c7093bc1a7e8739d91a6780	159	0	1	1	2	0b4234b9fdd7b7fcdef8de4a1d96ddd8af92ec43	1	6897.09534233817
057c4998ce3043b33c0dc899cf3adcb6f8aadb62	40	0	1	0	1	61bb7682cb55431ff3a7c38c38928bd107a01736	1	5851.48026046676
057e825aff074e168523706c03897e0777df9b94	184	0	1	1	1	5a4dd5ca0b87789189baf6b3323a71c23fa08044	1	135503.153104741
062854d7ba0b4411e1d472c2fd4d00ea44d9d6cc	51	0	1	1	1	7581b2b9c2793fc40f86bab592e756c143059058	1	10792.320300642
06f8fbd96827ebcc2af6cd68eb9d01db513af0cc	73	0	1	1	4	54e136b150ae049afc4e083f47bf88b27faf60c6	1	4429.24828932246
072d449dc164e98c19805f67ee6a5519b780fd2d	184	0	0	1	1	10818f391a2cf0d3b851948d1017548a4dcdcedb	1	135503.270660126
075e1ed2739aeffc3e5e0831d56826358336802e	13	0	1	0	2	512a7931e3abfb5ec1979319b37ef32774e5813d	1	19493.0938266013
079b1ab9c77f0cd073fe6f85aaf32219c6b91920	161	0	0	0	4	97905b734f8d433d3bc8e818d0ef453121fa96c6	1	66993.8097685412
07abe67565ef00ca65939290f57b7f8fed0ef3e9	53	0	1	1	4	db909c4d5e17b692dbe18375ccba7e4912dc8b30	1	8041.45657426432
08674a0e0f85623d4da72d469faa72d36287032f	184	0	1	0	1	c0321cebfb67b63a1fda1e0c3f0664a666fef3d0	1	135433.761004536
08a95c36827aa2665d59384db9923d31f6cb0b60	75	0	0	1	2	3491e242e1019602c871840ccf56d68ef8e715a7	2	NA
09522a037bb7d4eb4eb30d98b17266dc6982e402	66	0	0	1	2	a8952ae7162e9b7d9a3b6b0c3bf88cb5a3900182	1	1378.91794635602
0967f5345f27b53d7a380b08472c2478d7822c15	82	0	0	1	4	2cc82dd042650545eabcffff2321ee4b14af464e	1	7314.09788815056
0981fd5da7e8490323506c85b80f3ea7c9f9268d	8	0	1	0	4	e95d7eae07619d98a901d9c65307d491b0486016	1	6493.90377947443
09867787f649174cccd24a0d89c0b3ad0ad0df0f	26	0	0	1	4	3086c33c78ff09b2580e8914b6fbb9432f53195e	1	16537.7172857406
09e6375bd0ace29b879b739c21ff7640cc2d9048	158	0	1	0	1	87aad7cb691c2080682ad7e4f3110a5bb64983cb	1	6942.87936898114
0a56eb8b37e7679cba2221f874905bb997678b38	72	0	1	0	4	fc0c9be4fccfc590996f339329ea21c294917d8a	1	72730.2188196976
0ac949de0180537b598d4bcd15aa8bcbe6271379	24	0	0	1	2	738ffb39bb7f265306139e9b6ca0fe768feb43ab	2	NA
0b5acdabcbd51350a3bf41d5ce9a3b851ea2256e	76	0	0	0	4	15d327aae1cc84f15c98535acbdff9b74645217e	1	108796.055422391
0b9335c3cf2a43c4482e33fab75f23a3b0ec60bb	39	0	0	0	4	b6a7125d7304e9dcd2d6dc29a2fc8d486552bb48	1	32132.0010742924
0bf2c8c4276ad1bdac0113aa57d0db48210c2ddf	5	0	0	1	4	e0fabb18f63cb3a3efb721e6b39da895384bdf06	1	7182.79733310375
0c0f1fe43eb239c2b7c2ed45e9806c1d45ec3d9c	127	0	0	1	1	003088a458aef49fe39641fc54b6bbad3d1a99a0	1	5458.79926099688
0d183074248f2e5b28564e239da2a969df490063	1	0	1	1	4	38389873906d0c40565fa6cb07239a06988316e3	1	3958.30943113155
0d7b96c65bf8434dad8ff4ae7b2dac11ba59468f	64	0	0	1	1	d94f409c497f0f3540c66b026e49e802a30c127d	1	2894.26755950298
0db939ade562d517d56b747cb60af3e32d859b09	148	0	0	1	3	b859bb9fe8800b8787bd1d7ee6af1bb2eaf2aeb9	1	7546.75740917593
0e1b37392255c8e1029048961c20b6f6ac9111ab	114	0	1	0	4	afc6fee3f93f2ff762f1297a7da7d750481e8e38	1	11337.155240285
0e21dea54f9050ff6ddec278c6156f6f67fa4620	47	0	1	1	1	09a89d9a5187b4349092cc849cf0659c323d8efe	1	12714.5375563643
0e512f5267893868c482de2eaad7e086720f9da8	76	0	1	1	4	d03303db3c6219c54451905681e93ee0ecee501a	1	108905.820111039
0ec48c750ac18c1ed8c4e77e468bb3badeb6991c	28	0	1	1	5	e833a4ce81d0e996371e33bc8997b550eeb1eacc	1	1398.61461521793
0f7427572b0f9331bd80f1fc480dd43dc96f2a71	186	0	0	0	2	329f94d458cb5ed8e36a5b1c2c6bd2c4d0159915	1	12980.4350362235
101ae292210d6919e7202b9789585f3003181bb6	58	0	1	1	4	976dfd8fe9c8178462e0556b70e34e6aafa4f4e4	1	26170.0177855822
106b29bd87dd66dfc497b1ace292164de1cf3bf8	190	0	1	0	5	eb7e5d2b483492c71e82998e99e860f4a354f9d1	1	69458.852365895
106c5f05239fe003eb709cc174f2f390906703a4	150	1	1	0	NA	77d0a87a3531fa26340f0e42be9de69e5d725a2e	1	NA
1080515a46eba7a990f4283dd0732b8de57d3fb9	113	1	0	0	NA	6c82c50f423955843015fdd19cab0831ec173afa	1	NA
109f8d0f5bbe62523061149347330b571c675604	114	0	1	1	4	a7276147140056217123a5873763e01758457e1f	1	11314.591913403
112bc01f010f8df228a9524987461f9f34ea0437	26	0	1	0	4	3f177c5fc12341b89ef8bef5d452a6df3b4f761e	1	16524.6295064091
1143e70ace47ac9c9bade2025ba25a37cf0fa798	190	0	1	1	5	1bb7be909daa040e546a53aadf0872795bbb267f	1	69531.5670689099
12332689b0137519d1032e7b3c1bbdd99a145f05	57	0	0	1	1	7361f19a277131a8c4ff397320705acb004749b9	1	28716.8460101838
12957259e6f931c9e3dfa056e212ad43964188f1	178	0	0	1	1	01fcbc243dd480112fe137fbfa35f5b284660f67	1	4733.17327953156
136464e83615f911221be753862ce926f171a224	15	0	0	1	1	bb4142c94615e2b2e229d387494ff1e93be01ac2	1	5945.00547765542
14913922c0fbab173e657b2a819e2c1dec9f01f0	146	0	1	1	1	529b2b51674c7726ece779c27f68297d477c55be	1	79951.3800494461
1549427c59a4a13c26485a770e8230d66a8d8220	82	0	1	0	4	5d9aaf23cda71ac314ae4b6762b3805c33fbddc8	1	7304.06554741236
1550feabadc972df28ad5441f04c8331589f6d96	127	0	1	0	1	c485a0a3fcf759bd0d6d53602de41d997a7abcf3	1	5450.66650892712
155d28c93d141f92e3cef3dace7746b4b42268c1	134	0	1	1	4	8bb91d2fab8b115e99d79e27ccb229a82932bdb1	1	8348.16880709903
15756e314440390c89b172f3177bd7877b6e828d	15	0	0	0	1	b3e3848606089fcdd469e57283cb925f1185e49d	1	5920.43137377134
158124d17fb643b7104455e0e65a799b56035f94	76	0	0	1	4	a5bf1b48ae92cead636765987b792d3715b74b25	1	108907.531589343
15f0fb655471f3272e07fd2e4c078ce671d84ef1	14	0	1	0	2	840c7d900bad653ed5acbe4441934a6b8a6ee579	1	24182.2273366006
16015aab58128aeb0ef17c995f4ca08362e9a25a	53	0	0	1	4	7087b596461a5cc548e0b34c0ecefc58d3a8c2bd	1	8036.52683533256
1660ac09ed9c437fc6a1450716fb24d95c44e5ce	68	0	0	0	1	d4a14abeb1b48ffe99e29ab7113bad68bccb1fa6	1	37291.1495922879
16a422954ecee1958247a1cbccca2cc072eb48a6	41	0	1	1	2	7c4f93cd26c40370592e81e7a3ca97fc43738303	1	3618.91706248828
17536c6529def8d62ed5ddbdcf7e9ab13231165d	65	0	1	0	4	8dcbe47b199b3cb734c1d5c08638c4a01bfaf311	1	2223.11874762833
179bee3114d70926e6728f3e4970718f60a2db62	39	0	0	1	4	c141fa55e49f5c83566d1a00a8d69d3eb235b7f3	1	32118.6096084347
18b1df16080e691b63718cd87db6000a38ccce10	73	0	0	1	4	4fe094f2bc0eb156116070348dbb29511cd9b018	1	4428.16406298213
18e1729f3b166edb687dc93cb09a978e641f70b2	144	0	1	0	1	94b7c729d7f2396c4dd9061056722f79f1337089	1	1963.06536476533
18faf1acda3e463ef2925f9b2e5aa7337ac4b5a9	169	0	0	1	2	3dbe3854e197bfc606e72a5d32f4621bfa21ed90	2	NA
193553f998fe83f671627e343f6591209f4a071a	108	0	1	0	1	dd497351483a5c71a78020672edbac338c92f0c5	1	756.249717607638
1ae4acbaed24cc454636ff5eeba6d429fd7ec2c7	71	0	0	1	2	2fab2c4b710842c888f1a25fe37d041af50448b6	2	NA
1aeae1f347d3f19bc64b9cec2cf15adc42287f5a	1	0	0	0	4	501935fb04cda3f3634cdf510c65cb760d15bf96	1	3935.30785918258
1affa858be371732e5a6c8dadf5bb1384529b3a0	174	0	0	1	2	622445f8016e1c2ea810a1bd7bfb1aef5312999a	1	100445.53568753
1b00eaa10092ce6c27959ace686163bfbd1a5820	134	0	0	1	4	e89318206ed86e3dc6e5693a3c3c6997d768681d	1	8346.49493771612
1b1eff01fc9bd8c8faf06150d2018cdb467dcbc7	101	1	0	0	NA	3d1a6347bb928d6e8fcf9136ea74379c266ce60d	1	NA
1bd9dc3c69c6706234cd1004c04c73938474f9f8	148	0	1	1	3	810fa7cc6a922561b070aad131149e8a6ca93b47	1	7546.42673471855
1ce44f2db5fbed3aa58287548ec1c20d75d4fe4e	97	0	0	1	4	a68803a271ebdc2c94cfb55a404905ec31868e5c	1	6217.29127345418
1cff723dd6ac1d7020c74fd21a675ae48520627c	70	0	0	1	1	fa5706667a060097addc31389139b8f4cd5ba023	1	188223.548319625
1d3040369be132a7b07c2419f228df0f39d1c412	88	0	0	0	4	713ca5f35ae63590b5c950b8d7d6d197a663b791	1	1868.64946528929
1d845dc1bfd649b6aa4812ad4f12052c18ee58ba	122	0	0	1	2	4d3bf3f52a1b6566aa3df313cda6b59deeb0f773	2	NA
1dbadd0711258dfe348cc22826288fd9c4370ec8	106	0	0	0	1	d9ed5a748eff1698009be7f461dbb5e5cd6df203	1	15984.6231256233
1dc94699e1f2b54efdedf0f76e3b9a21a41d643e	154	0	1	0	1	7fee0acdede613f0b21ac9eb4f12c677ac4e127c	1	1000.68605760974
1e46fcad525d55d0e9cfd09743657443d2e3fcbc	69	0	0	1	2	989c418eecef94ac819d9eb23559516d9ec2b6a8	2	NA
